Title,tokens,tokens_no_stopwords,lemmatized_tokens,lemmatized_tokens,Cluster_Classification
Rival parties each claim edge in Pakistan election,"['Rival', 'parties', 'each', 'claim', 'edge', 'in', 'Pakistan', 'election']","['Rival', 'parties', 'claim', 'edge', 'Pakistan', 'election']","['rival', 'party', 'claim', 'edge', 'pakistan', 'election']","['rival', 'party', 'claim', 'edge', 'pakistan', 'election']",1
"Against the odds, election shows Imran Khan's support is solid","['Against', 'the', 'odds', ',', 'election', 'shows', 'Imran', 'Khan', ""'s"", 'support', 'is', 'solid']","['odds', 'election', 'shows', 'Imran', 'Khan', 'support', 'solid']","['odds', 'election', 'show', 'imran', 'khan', 'support', 'solid']","['odds', 'election', 'show', 'imran', 'khan', 'support', 'solid']",1
Foes turn friends as an 'impossible' nation tests its democracy,"['Foes', 'turn', 'friends', 'as', 'an', ""'impossible"", ""'"", 'nation', 'tests', 'its', 'democracy']","['Foes', 'turn', 'friends', 'nation', 'tests', 'democracy']","['foe', 'turn', 'friend', 'nation', 'test', 'democracy']","['foe', 'turn', 'friend', 'nation', 'test', 'democracy']",1
The Ukrainians 'disappearing' in Russia's prisons,"['The', 'Ukrainians', ""'disappearing"", ""'"", 'in', 'Russia', ""'s"", 'prisons']","['Ukrainians', 'Russia', 'prisons']","['ukrainian', 'russia', 'prison']","['ukrainian', 'russia', 'prison']",1
"Israeli soldier videos from Gaza could breach international law, experts say","['Israeli', 'soldier', 'videos', 'from', 'Gaza', 'could', 'breach', 'international', 'law', ',', 'experts', 'say']","['Israeli', 'soldier', 'videos', 'Gaza', 'could', 'breach', 'international', 'law', 'experts', 'say']","['israeli', 'soldier', 'video', 'gaza', 'could', 'breach', 'international', 'law', 'expert', 'say']","['israeli', 'soldier', 'video', 'gaza', 'could', 'breach', 'international', 'law', 'expert', 'say']",1
Netanyahu orders military to plan Rafah evacuation,"['Netanyahu', 'orders', 'military', 'to', 'plan', 'Rafah', 'evacuation']","['Netanyahu', 'orders', 'military', 'plan', 'Rafah', 'evacuation']","['netanyahu', 'order', 'military', 'plan', 'rafah', 'evacuation']","['netanyahu', 'order', 'military', 'plan', 'rafah', 'evacuation']",1
Indian textiles tycoon hit with fresh allegations,"['Indian', 'textiles', 'tycoon', 'hit', 'with', 'fresh', 'allegations']","['Indian', 'textiles', 'tycoon', 'hit', 'fresh', 'allegations']","['indian', 'textile', 'tycoon', 'hit', 'fresh', 'allegation']","['indian', 'textile', 'tycoon', 'hit', 'fresh', 'allegation']",1
VideoBBC returns to ghost town flattened by Japan quake,"['VideoBBC', 'returns', 'to', 'ghost', 'town', 'flattened', 'by', 'Japan', 'quake']","['VideoBBC', 'returns', 'ghost', 'town', 'flattened', 'Japan', 'quake']","['videobbc', 'return', 'ghost', 'town', 'flattened', 'japan', 'quake']","['videobbc', 'return', 'ghost', 'town', 'flattened', 'japan', 'quake']",1
Matchstick Eiffel Tower a world record after U-turn,"['Matchstick', 'Eiffel', 'Tower', 'a', 'world', 'record', 'after', 'U-turn']","['Matchstick', 'Eiffel', 'Tower', 'world', 'record']","['matchstick', 'eiffel', 'tower', 'world', 'record']","['matchstick', 'eiffel', 'tower', 'world', 'record']",0
Democrats rally around Biden after age worries,"['Democrats', 'rally', 'around', 'Biden', 'after', 'age', 'worries']","['Democrats', 'rally', 'around', 'Biden', 'age', 'worries']","['democrat', 'rally', 'around', 'biden', 'age', 'worry']","['democrat', 'rally', 'around', 'biden', 'age', 'worry']",3
Ukraine's missing children traced by digital sleuths,"['Ukraine', ""'s"", 'missing', 'children', 'traced', 'by', 'digital', 'sleuths']","['Ukraine', 'missing', 'children', 'traced', 'digital', 'sleuths']","['ukraine', 'missing', 'child', 'traced', 'digital', 'sleuth']","['ukraine', 'missing', 'child', 'traced', 'digital', 'sleuth']",1
Democrats rally around Biden after age worries,"['Democrats', 'rally', 'around', 'Biden', 'after', 'age', 'worries']","['Democrats', 'rally', 'around', 'Biden', 'age', 'worries']","['democrat', 'rally', 'around', 'biden', 'age', 'worry']","['democrat', 'rally', 'around', 'biden', 'age', 'worry']",3
Ukraine's missing children traced by digital sleuths,"['Ukraine', ""'s"", 'missing', 'children', 'traced', 'by', 'digital', 'sleuths']","['Ukraine', 'missing', 'children', 'traced', 'digital', 'sleuths']","['ukraine', 'missing', 'child', 'traced', 'digital', 'sleuth']","['ukraine', 'missing', 'child', 'traced', 'digital', 'sleuth']",1
Swimmer Magnussen to make doping 'world record' attempt,"['Swimmer', 'Magnussen', 'to', 'make', 'doping', ""'world"", 'record', ""'"", 'attempt']","['Swimmer', 'Magnussen', 'make', 'doping', 'record', 'attempt']","['swimmer', 'magnussen', 'make', 'doping', 'record', 'attempt']","['swimmer', 'magnussen', 'make', 'doping', 'record', 'attempt']",0
VideoThese three friends have attended all 58 Super Bowls,"['VideoThese', 'three', 'friends', 'have', 'attended', 'all', '58', 'Super', 'Bowls']","['VideoThese', 'three', 'friends', 'attended', '58', 'Super', 'Bowls']","['videothese', 'three', 'friend', 'attended', '58', 'super', 'bowl']","['videothese', 'three', 'friend', 'attended', '58', 'super', 'bowl']",1
Prince Harry settles phone hacking claim with Mirror group,"['Prince', 'Harry', 'settles', 'phone', 'hacking', 'claim', 'with', 'Mirror', 'group']","['Prince', 'Harry', 'settles', 'phone', 'hacking', 'claim', 'Mirror', 'group']","['prince', 'harry', 'settle', 'phone', 'hacking', 'claim', 'mirror', 'group']","['prince', 'harry', 'settle', 'phone', 'hacking', 'claim', 'mirror', 'group']",1
Who is really pulling the strings in a divided Pakistan?,"['Who', 'is', 'really', 'pulling', 'the', 'strings', 'in', 'a', 'divided', 'Pakistan', '?']","['really', 'pulling', 'strings', 'divided', 'Pakistan']","['really', 'pulling', 'string', 'divided', 'pakistan']","['really', 'pulling', 'string', 'divided', 'pakistan']",0
'My mother doesn't know if she's married or a widow',"[""'My"", 'mother', 'does', ""n't"", 'know', 'if', 'she', ""'s"", 'married', 'or', 'a', 'widow', ""'""]","['mother', 'know', 'married', 'widow']","['mother', 'know', 'married', 'widow']","['mother', 'know', 'married', 'widow']",1
Pakistan's king of comebacks looks set to win again,"['Pakistan', ""'s"", 'king', 'of', 'comebacks', 'looks', 'set', 'to', 'win', 'again']","['Pakistan', 'king', 'comebacks', 'looks', 'set', 'win']","['pakistan', 'king', 'comeback', 'look', 'set', 'win']","['pakistan', 'king', 'comeback', 'look', 'set', 'win']",1
How Imran Khan plans to win an election from jail,"['How', 'Imran', 'Khan', 'plans', 'to', 'win', 'an', 'election', 'from', 'jail']","['Imran', 'Khan', 'plans', 'win', 'election', 'jail']","['imran', 'khan', 'plan', 'win', 'election', 'jail']","['imran', 'khan', 'plan', 'win', 'election', 'jail']",1
"A jailed star and former convict: Pakistan's election, explained","['A', 'jailed', 'star', 'and', 'former', 'convict', ':', 'Pakistan', ""'s"", 'election', ',', 'explained']","['jailed', 'star', 'former', 'convict', 'Pakistan', 'election', 'explained']","['jailed', 'star', 'former', 'convict', 'pakistan', 'election', 'explained']","['jailed', 'star', 'former', 'convict', 'pakistan', 'election', 'explained']",1
"A mosque demolished, and orphans displaced in India","['A', 'mosque', 'demolished', ',', 'and', 'orphans', 'displaced', 'in', 'India']","['mosque', 'demolished', 'orphans', 'displaced', 'India']","['mosque', 'demolished', 'orphan', 'displaced', 'india']","['mosque', 'demolished', 'orphan', 'displaced', 'india']",1
BBC World News TV,"['BBC', 'World', 'News', 'TV']","['BBC', 'World', 'News', 'TV']","['bbc', 'world', 'news', 'tv']","['bbc', 'world', 'news', 'tv']",0
AudioBBC World Service Radio,"['AudioBBC', 'World', 'Service', 'Radio']","['AudioBBC', 'World', 'Service', 'Radio']","['audiobbc', 'world', 'service', 'radio']","['audiobbc', 'world', 'service', 'radio']",1
What's next in Prince Harry's war against the media?,"['What', ""'s"", 'next', 'in', 'Prince', 'Harry', ""'s"", 'war', 'against', 'the', 'media', '?']","['next', 'Prince', 'Harry', 'war', 'media']","['next', 'prince', 'harry', 'war', 'medium']","['next', 'prince', 'harry', 'war', 'medium']",1
Is Iceland entering a new volcanic era?,"['Is', 'Iceland', 'entering', 'a', 'new', 'volcanic', 'era', '?']","['Iceland', 'entering', 'new', 'volcanic', 'era']","['iceland', 'entering', 'new', 'volcanic', 'era']","['iceland', 'entering', 'new', 'volcanic', 'era']",1
Fact-checking Putin's 'nonsense' history,"['Fact-checking', 'Putin', ""'s"", ""'nonsense"", ""'"", 'history']","['Putin', 'history']","['putin', 'history']","['putin', 'history']",2
Prosecutor faces political glare after Biden report,"['Prosecutor', 'faces', 'political', 'glare', 'after', 'Biden', 'report']","['Prosecutor', 'faces', 'political', 'glare', 'Biden', 'report']","['prosecutor', 'face', 'political', 'glare', 'biden', 'report']","['prosecutor', 'face', 'political', 'glare', 'biden', 'report']",1
Biden gaffe sparks 'they've both got pyramids' jokes,"['Biden', 'gaffe', 'sparks', ""'they"", ""'ve"", 'both', 'got', 'pyramids', ""'"", 'jokes']","['Biden', 'gaffe', 'sparks', 'got', 'pyramids', 'jokes']","['biden', 'gaffe', 'spark', 'got', 'pyramid', 'joke']","['biden', 'gaffe', 'spark', 'got', 'pyramid', 'joke']",2
VideoBBC World Service,"['VideoBBC', 'World', 'Service']","['VideoBBC', 'World', 'Service']","['videobbc', 'world', 'service']","['videobbc', 'world', 'service']",0
